Token,Count
shore,1
furthest,1
merchandis,1
maiden,1
bepaint,1
swearst,1
jove,1
thinkest,1
pervers,1
haviour,1
overheardst,1
truelov,1
imput,1
yield,1
tip,1
fruittre,1
monthli,1
orb,1
variabl,1
graciou,1
self,1
idolatri,1
although,1
contract,1
rash,1
unadvisd,1
lighten,1
ripen,1
repos,1
unsatisfi,1
satisfact,1
request,1
frank,1
bounti,1
boundless,1
infinit,1
nursesweet,1
afeard,1
flatteringsweet,1
substanti,1
bent,1
perform,1
throughout,1
meanest,1
thrive,1
schoolboy,1
school,1
retirong,1
slowli,1
falcon,1
lure,1
tasselgentl,1
bondag,1
echo,1
repetit,1
silversweet,1
softest,1
hop,1
twist,1
gyve,1
thread,1
lovingjeal,1
greyeyd,1
chequer,1
eastern,1
fleck,1
drunkard,1
reel,1
path,1
titan,1
wheel,1
non,1
dank,1
upfil,1
osier,1
cage,1
bale,1
preciousju,1
diver,1
suck,1
mickl,1
qualiti,1
special,1
aught,1
straind,1
misappli,1
action,1
dignifi,1
infant,1
rind,1
resid,1
medicin,1
smelt,1
oppos,1
encamp,1
predomin,1
canker,1
eat,1
benedicit,1
saluteth,1
argu,1
distemperd,1
unbruis,1
unstuffd,1
couch,1
assur,1
uprousd,1
distemperatur,1
sweeter,1
physic,1
hatr,1
intercess,1
stead,1
plain,1
plainli,1
combind,1
combin,1
forsaken,1
maria,1
brine,1
sallow,1
thrown,1
season,1
chiddst,1
pupil,1
badst,1
allow,1
rote,1
spell,1
waver,1
assist,1
allianc,1
rancour,1
hardheart,1
song,1
pin,1
cleft,1
bowboy,1
buttshaft,1
captain,1
pricksongkeep,1
distanc,1
proport,1
minim,1
third,1
butcher,1
button,1
punto,1
reverso,1
hay,1
pox,1
lisp,1
fantastico,1
tuner,1
accentsbi,1
bladea,1
tall,1
mana,1
whorewhi,1
fashionmong,1
pardonnezmoi,1
bench,1
roe,1
her,1
fishifiednow,1
petrarch,1
laura,1
kitchen,1
berhym,1
dido,1
dowdi,1
cleopatra,1
gypsi,1
helen,1
hero,1
harlot,1
thisb,1
jour,1
salut,1
slop,1
conceiv,1
constrain,1
ham,1
kindli,1
exposit,1
pump,1
wellflow,1
pumpthat,1
singlesol,1
chase,1
sauc,1
cheveril,1
inch,1
narrow,1
ell,1
sociabl,1
drivel,1
loll,1
baubl,1
hole,1
desirest,1
larg,1
deceiv,1
depth,1
occupi,1
argument,1
goodli,1
shirt,1
smock,1
bawdi,1
dial,1
noon,1
saidfor,1
agentlemen,1
older,1
youngest,1
worst,1
confid,1
indit,1
lenten,1
pie,1
stale,1
score,1
farewell,1
merchant,1
roperi,1
ana,1
lustier,1
flirtgil,1
skainsmatesand,1
suffer,1
vex,1
knavepray,1
gross,1
behaviour,1
doubl,1
gentlemanlik,1
shrivd,1
penni,1
abbeywal,1
tackl,1
stair,1
topgal,1
convoy,1
trusti,1
theehark,1
prate,1
aboard,1
lief,1
proper,1
clout,1
versal,1
mocker,1
letterand,1
sententi,1
clock,1
promisd,1
perchanc,1
lame,1
faster,1
glide,1
drive,1
nimblepiniond,1
windswift,1
highmost,1
journey,1
ball,1
folk,1
feign,1
unwieldi,1
gate,1
merrili,1
aweari,1
jaunt,1
speakgood,1
rhough,1
catch,1
jaunc,1
sorri,1
handsom,1
motherwhi,1
oddli,1
repliest,1
poultic,1
messag,1
coillcom,1
theyll,1
ladder,1
drudg,1
fortunelhonest,1
vi,1
afterhour,1
countervail,1
lovedevour,1
consum,1
delici,1
confound,1
appetit,1
moder,1
arriv,1
tardi,1
lady,1
flint,1
gossam,1
goodeven,1
heapd,1
skill,1
blazon,1
sweeten,1
neighbour,1
unfold,1
imagind,1
receiv,1
worth,1
excess,1
incorpor,1
confin,1
tavern,1
clap,1
oper,1
drawer,1
mood,1
itali,1
shortli,1
beard,1
crack,1
nut,1
hazel,1
eyeswhat,1
beaten,1
addl,1
cough,1
doublet,1
easter,1
riband,1
quarter,1
coupl,1
consortest,1
fiddlestick,1
zound,1
haunt,1
coldli,1
budg,1
appertain,1
injuri,1
injurd,1
dishonour,1
submiss,1
alia,1
stoccata,1
ratcatch,1
eight,1
pitcher,1
expressli,1
tybaltgood,1
partizan,1
housesl,1
sped,1
pagego,1
surgeon,1
twill,1
pepper,1
houseslzound,1
rat,1
braggart,1
rogu,1
arithmeticwhi,1
alli,1
behalf,1
reput,1
effemin,1
softend,1
aspird,1
fate,1
depend,1
furiou,1
leniti,1
fireeyd,1
gavest,1
wive,1
beginn,1
prince,1
spilld,1
displeasur,1
humbl,1
bowd,1
truce,1
unruli,1
spleen,1
tilt,1
pierc,1
martial,1
dexter,1
retort,1
swifter,1
agil,1
entertaind,1
reveng,1
fell,1
justic,1
conclud,1
offenc,1
interest,1
proceed,1
ableed,1
amerc,1
plead,1
purchas,1
apac,1
fieryfoot,1
steed,1
phoebu,1
phaeton,1
west,1
cloudi,1
loveperform,1
untalkd,1
unseen,1
sobersuit,1
matron,1
win,1
playd,1
stainless,1
maidenhood,1
hood,1
unmannd,1
bate,1
mantl,1
romeocom,1
whiter,1
snow,1
blackbrowd,1
garish,1
bought,1
enjoyd,1
impati,1
heavenli,1
eloqu,1
wring,1
dayh,1
itromeo,1
roard,1
vowel,1
deathdart,1
cockatric,1
weal,1
markher,1
manli,1
bedaubd,1
gorebloodl,1
swound,1
heartpoor,1
bankrout,1
resign,1
dearlovd,1
dearer,1
dread,1
trumpet,1
goddid,1
dragon,1
dovefeatherd,1
wolvishraven,1
divinest,1
justli,1
seemst,1
bower,1
contain,1
deceit,1
gorgeou,1
honesti,1
perjurd,1
dissembl,1
aqua,1
vita,1
blisterd,1
ashamd,1
crownd,1
monarch,1
univers,1
threehour,1
tributari,1
mistak,1
memori,1
sinner,1
fellowship,1
needli,1
rankd,1
followd,1
modern,1
movd,1
rearward,1
banishedto,1
rope,1
exild,1
highway,1
maidenwidow,1
wot,1
enanmourd,1
calam,1
familiar,1
gentler,1
vanishd,1
purgatori,1
hencebanish,1
mistermd,1
cuttst,1
axe,1
smilst,1
stroke,1
unthank,1
brushd,1
turnd,1
valid,1
courtship,1
seiz,1
sayest,1
mixd,1
sharpground,1
howl,1
divin,1
sinabsolv,1
professd,1
littler,1
armour,1
advers,1
milk,1
displant,1
revers,1
prevail,1
madmen,1
disput,1
estat,1
unmad,1
heartsick,1
mistlik,1
infold,1
knockwho,1
thereromeo,1
awhilestand,1
studi,1
byandbygod,1
errand,1
sympathi,1
predica,1
rise,1
sir—,1
spakest,1
childhood,1
removd,1
conceald,1
cancelld,1
level,1
gun,1
anatomi,1
sack,1
denot,1
unreason,1
unseemli,1
temperd,1
railst,1
usur,1
aboundst,1
usest,1
bedeck,1
digress,1
vowd,1
skilless,1
flask,1
afir,1
ignor,1
dismemberd,1
defenc,1
slewest,1
pack,1
court,1
misbehavd,1
poutst,1
ascend,1
blaze,1
reconcil,1
wentst,1
hasten,1
disguisd,1
sojourn,1
